SINAPI - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,__arquivo_origem,Unnamed: 0
RELATÓRIO DE FAMÍLIAS E COEFICIENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
Mês de Referência:,06/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
Data de emissão:,11/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
,,,,Coeficientes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINAPI_familias_e_coeficientes_2025_06.xlsx,
"Código da
Família","Código do
Insumo",Descrição do Insumo,Unidade,Categoria,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,4248,OPERADOR DE PA CARREGADEIRA (HORISTA),H,REPRESENTADO,0.9615411,0.9003398,0.9724403,0.9240343,0.9369829,0.9055592,0.8254867,0.9128793,0.6399401,0.9644723,0.7909297,0.8863257,0.8628774,0.9150091,0.9004762,0.9219645,0.8757199,0.9483283,0.8733251,0.8381308,1,0.8594778,1.1067999,1.0500852,0.901983,0.7496153,0.9744317,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,41033,OPERADOR DE PA CARREGADEIRA (MENSALISTA),MES,REPRESENTADO,211.5390408,198.0747452,213.936871,203.2875487,206.1362285,199.2230302,181.6070649,200.8334421,140.7868155,212.183908,174.0045446,194.9916623,189.8330339,201.3020086,198.1047619,202.8321915,192.658371,208.6322302,192.1315256,184.3887805,220,189.0851167,243.495978,231.0187387,198.4362587,164.9153557,214.3749757,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,44500,OPERADOR DE PAVIMENTADORA / MESA VIBROACABADORA (HORISTA),H,REPRESENTADO,0.9615411,0.9003398,0.9724403,0.9240343,0.9369829,0.844,0.8254867,0.9128793,0.6399401,0.9644723,0.7909297,0.8863257,0.8628774,0.9150091,0.9004762,0.9219645,0.9055592,0.9483283,0.8733251,0.8381308,1,0.8594778,1.1067999,1.0500852,0.901983,0.7496153,0.9744317,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,41040,OPERADOR DE PAVIMENTADORA / MESA VIBROACABADORA (MENSALISTA),MES,REPRESENTADO,211.5390408,198.0747452,213.936871,203.2875487,206.1362285,185.68,181.6070649,200.8334421,140.7868155,212.183908,174.0045446,194.9916623,189.8330339,201.3020086,198.1047619,202.8321915,199.2230302,208.6322302,192.1315256,184.3887805,220,189.0851167,243.495978,231.0187387,198.4362587,164.9153557,214.3749757,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,4238,OPERADOR DE ROLO COMPACTADOR (HORISTA),H,REPRESENTADO,0.8147766,0.9539433,0.728275,1.0509053,0.9369829,0.99,0.8248823,0.7471493,0.6890314,0.8934169,0.594811,0.8003211,0.854551,0.876843,0.9539433,0.8879737,0.841629,0.7882453,0.9248261,0.7572949,0.9774359,0.7501385,0.9036173,0.9984587,0.7836447,0.7629275,0.7771517,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,41012,OPERADOR DE ROLO COMPACTADOR (MENSALISTA),MES,REPRESENTADO,179.2508557,209.8675167,160.2204941,231.1991662,206.1362285,217.8,181.4741133,164.3728385,151.5869,196.5517241,130.8584132,176.0706385,188.001227,192.9054542,209.8675167,195.3542182,185.158371,173.4139564,203.4617311,166.604878,215.0358974,165.030473,198.7958031,219.6609185,172.401833,167.8440492,170.9733826,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,4233,"OPERADOR DE USINA DE ASFALTO, DE SOLOS OU DE CONCRETO (HORISTA)",H,REPRESENTADO,1.2059652,1.6053742,1.1644348,1.2772306,1.4151768,1.4614182,1.469658,1.2203467,1.1954049,1.458312,1.0555345,1.3048817,1.2330404,1.1846633,1.3624501,1.104951,1.644385,1.2216865,1.0206672,1.3159202,1.2059652,1.1024829,1.5018736,1.3929579,1.5516385,1.0360465,1.3843015,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,41001,"OPERADOR DE USINA DE ASFALTO, DE SOLOS OU DE CONCRETO (MENSALISTA)",MES,REPRESENTADO,265.3123355,353.182333,256.1756633,280.9907222,311.3388951,321.512,323.324761,268.4762643,262.98907,320.8286311,232.2175791,287.0739783,271.2688987,260.6259161,299.7390178,243.0892161,361.7647059,268.771037,224.5467775,289.502439,265.3123355,242.546229,330.4121909,306.4507452,341.3604767,227.9302326,304.5463377,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,4752,POCEIRO / ESCAVADOR DE VALAS E TUBULOES (HORISTA),H,REPRESENTADO,0.7453202,0.5638012,0.7453202,0.7453202,0.5638012,0.5638012,0.8248823,0.7189058,0.6659999,0.5638012,0.6446189,0.8265312,0.8265312,0.7453202,0.5638012,0.5638012,0.5638012,0.7453202,0.7189058,0.5638012,0.7453202,0.7453202,0.7453202,0.7453202,0.5638012,0.6943194,0.7453202,SINAPI_familias_e_coeficientes_2025_06.xlsx,
4234,41091,POCEIRO / ESCAVADOR DE VALAS E TUBULOES (MENSALISTA),MES,REPRESENTADO,163.9704438,124.0362586,163.9704438,163.9704438,124.0362586,124.0362586,181.4741133,158.1592776,146.5199772,124.0362586,141.8161608,181.8368651,181.8368651,163.9704438,124.0362586,124.0362586,124.0362586,163.9704438,158.1592776,124.0362586,163.9704438,163.9704438,163.9704438,163.9704438,124.0362586,152.7502736,163.9704438,SINAPI_familias_e_coeficientes_2025_06.xlsx,
